symbol,name,exchange,region,currency,type
MMM,3M Company,NYQ,us_market,USD,EQUITY
AOS,A. O. Smith Corporation,NYQ,us_market,USD,EQUITY
ABT,Abbott Laboratories,NYQ,us_market,USD,EQUITY
ABBV,AbbVie Inc.,NYQ,us_market,USD,EQUITY
ACN,Accenture plc,NYQ,us_market,USD,EQUITY
ADBE,Adobe Inc.,NMS,us_market,USD,EQUITY
AMD,"Advanced Micro Devices, Inc.",NMS,us_market,USD,EQUITY
AES,The AES Corporation,NYQ,us_market,USD,EQUITY
AFL,Aflac Incorporated,NYQ,us_market,USD,EQUITY
A,"Agilent Technologies, Inc.",NYQ,us_market,USD,EQUITY
APD,"Air Products and Chemicals, Inc.",NYQ,us_market,USD,EQUITY
ABNB,"Airbnb, Inc.",NMS,us_market,USD,EQUITY
AKAM,"Akamai Technologies, Inc.",NMS,us_market,USD,EQUITY
ALB,Albemarle Corporation,NYQ,us_market,USD,EQUITY
ARE,"Alexandria Real Estate Equities, Inc.",NYQ,us_market,USD,EQUITY
ALGN,"Align Technology, Inc.",NMS,us_market,USD,EQUITY
ALLE,Allegion plc,NYQ,us_market,USD,EQUITY
LNT,Alliant Energy Corporation,NMS,us_market,USD,EQUITY
ALL,The Allstate Corporation,NYQ,us_market,USD,EQUITY
GOOGL,Alphabet Inc.,NMS,us_market,USD,EQUITY
GOOG,Alphabet Inc.,NMS,us_market,USD,EQUITY
MO,"Altria Group, Inc.",NYQ,us_market,USD,EQUITY
AMZN,"Amazon.com, Inc.",NMS,us_market,USD,EQUITY
AMCR,Amcor plc,NYQ,us_market,USD,EQUITY
AEE,Ameren Corporation,NYQ,us_market,USD,EQUITY
AEP,"American Electric Power Company, Inc.",NMS,us_market,USD,EQUITY
AXP,American Express Company,NYQ,us_market,USD,EQUITY
AIG,"American International Group, Inc.",NYQ,us_market,USD,EQUITY
AMT,American Tower Corporation,NYQ,us_market,USD,EQUITY
AWK,"American Water Works Company, Inc.",NYQ,us_market,USD,EQUITY
AMP,"Ameriprise Financial, Inc.",NYQ,us_market,USD,EQUITY
AME,"AMETEK, Inc.",NYQ,us_market,USD,EQUITY
AMGN,Amgen Inc.,NMS,us_market,USD,EQUITY
APH,Amphenol Corporation,NYQ,us_market,USD,EQUITY
ADI,"Analog Devices, Inc.",NMS,us_market,USD,EQUITY
ANSS,"ANSYS, Inc.",NMS,us_market,USD,EQUITY
AON,Aon plc,NYQ,us_market,USD,EQUITY
APA,APA Corporation,NMS,us_market,USD,EQUITY
APO,"Apollo Global Management, Inc.",NYQ,us_market,USD,EQUITY
AAPL,Apple Inc.,NMS,us_market,USD,EQUITY
AMAT,"Applied Materials, Inc.",NMS,us_market,USD,EQUITY
APTV,Aptiv PLC,NYQ,us_market,USD,EQUITY
ACGL,Arch Capital Group Ltd.,NMS,us_market,USD,EQUITY
ADM,Archer-Daniels-Midland Company,NYQ,us_market,USD,EQUITY
ANET,Arista Networks Inc,NYQ,us_market,USD,EQUITY
AJG,Arthur J. Gallagher & Co.,NYQ,us_market,USD,EQUITY
AIZ,"Assurant, Inc.",NYQ,us_market,USD,EQUITY
T,AT&T Inc.,NYQ,us_market,USD,EQUITY
ATO,Atmos Energy Corporation,NYQ,us_market,USD,EQUITY
ADSK,"Autodesk, Inc.",NMS,us_market,USD,EQUITY
ADP,"Automatic Data Processing, Inc.",NMS,us_market,USD,EQUITY
AZO,"AutoZone, Inc.",NYQ,us_market,USD,EQUITY
AVB,"AvalonBay Communities, Inc.",NYQ,us_market,USD,EQUITY
AVY,Avery Dennison Corporation,NYQ,us_market,USD,EQUITY
AXON,"Axon Enterprise, Inc.",NMS,us_market,USD,EQUITY
BKR,Baker Hughes Company,NMS,us_market,USD,EQUITY
BALL,Ball Corporation,NYQ,us_market,USD,EQUITY
BAC,Bank of America Corporation,NYQ,us_market,USD,EQUITY
BAX,Baxter International Inc.,NYQ,us_market,USD,EQUITY
BDX,"Becton, Dickinson and Company",NYQ,us_market,USD,EQUITY
